date,tour
2019-12-11,37923
2019-12-12,44999
2019-12-13,43434
2019-12-14,43139
2019-12-15,42021
2019-12-16,42582
2019-12-17,40247
2019-12-18,40675
2019-12-19,44149
2019-12-20,42663
2019-12-21,44887
2019-12-22,44669
2019-12-23,43388
2019-12-24,42101
2019-12-25,42991
2019-12-26,44509
2019-12-27,45236
2019-12-28,46068
2019-12-29,45412
2019-12-30,43271
2019-12-31,42914
2020-01-01,40867
2020-01-02,43543
2020-01-03,39727
2020-01-04,40862
2020-01-05,42074
2020-01-06,42983
2020-01-07,37845
2020-01-08,43589
2020-01-09,44699
2020-01-10,43834
2020-01-11,43991
2020-01-12,43628
2020-01-13,45428
2020-01-14,43944
2020-01-15,42295
2020-01-16,43230
2020-01-17,42145
2020-01-18,41458
2020-01-19,37584
2020-01-20,35876
2020-01-21,32569
2020-01-22,39427
2020-01-23,45677
2020-01-24,48362
2020-01-25,40512
2020-01-26,39788
2020-01-27,37509
2020-01-28,37910
2020-01-29,33497
2020-01-30,29342
2020-01-31,27574
2020-02-01,25978
2020-02-02,23685
2020-02-03,21075
2020-02-04,18918
2020-02-05,17120
2020-02-06,18464
2020-02-07,20573
2020-02-08,21615
2020-02-09,19935
2020-02-10,19980
2020-02-11,19925
2020-02-12,19475
2020-02-13,25202
2020-02-14,26843
2020-02-15,28543
2020-02-16,26889
2020-02-17,25744
2020-02-18,27588
2020-02-19,27870
2020-02-20,30131
2020-02-21,29137
2020-02-22,24494
2020-02-23,21121
2020-02-24,16903
2020-02-25,15165
2020-02-26,14329
2020-02-27,13701
2020-02-28,14172
2020-02-29,15175
2020-03-01,13739
2020-03-02,15898
2020-03-03,15668
2020-03-04,14598
2020-03-05,15949
2020-03-06,17079
2020-03-07,16208
2020-03-08,13672
2020-03-09,15371
2020-03-10,15790
2020-03-11,17315
2020-03-12,17718
2020-03-13,17659
2020-03-14,16923
2020-03-15,15934
2020-03-16,16592
2020-03-17,16948
2020-03-18,16183
2020-03-19,16447
2020-03-20,17605
2020-03-21,17574
2020-03-22,16644
2020-03-23,16910
2020-03-24,14921
2020-03-25,13056
2020-03-26,13043
2020-03-27,14677
2020-03-28,15108
2020-03-29,13480
2020-03-30,11721
2020-03-31,11981
2020-04-01,14703
2020-04-02,15484
2020-04-03,15251
2020-04-04,14522
2020-04-05,11604
2020-04-06,12866
2020-04-07,12393
2020-04-08,12662
2020-04-09,13368
2020-04-10,15727
2020-04-11,15731
2020-04-12,14059
2020-04-13,13919
2020-04-14,14644
2020-04-15,16745
2020-04-16,14128
2020-04-17,16388
2020-04-18,15925
2020-04-19,13627
2020-04-20,16444
2020-04-21,15587
2020-04-22,16974
2020-04-23,18389
2020-04-24,22240
2020-04-25,21937
2020-04-26,22648
2020-04-27,23711
2020-04-28,26120
2020-04-29,36587
2020-04-30,46940
2020-05-01,32586
2020-05-02,22689
2020-05-03,20954
2020-05-04,17334
2020-05-05,19048
2020-05-06,20538
2020-05-07,20092
2020-05-08,19023
2020-05-09,20869
2020-05-10,27053
2020-05-11,25530
2020-05-12,24304
2020-05-13,21459
2020-05-14,23327
2020-05-15,22135
2020-05-16,23009
2020-05-17,24394
2020-05-18,24001
